признак,падение качества,std
NumSaturatedHeterocycles,0.01792404241863091,0.003445827082660863
fr_NH2,0.0129188023500032,0.004606273359402046
NumAliphaticHeterocycles,0.012438977568802967,0.0019051486018889171
fr_NH1,0.012210231068839172,0.003387272465362778
NumHDonors,0.011780808486632169,0.0018859295207427243
NHOHCount,0.011497474834534921,0.0033043140915369933
fr_aniline,0.011476636743866397,0.0021547029780209946
Kappa3,0.011206102570334414,0.0025871454992180596
fr_Imine,0.009614560510566,0.0018748066514028554
fr_ketone,0.009511343721943469,0.0015589185612573143
NumAromaticCarbocycles,0.009067906379027033,0.0015122238735502632
BCUT2D_CHGHI,0.008367583979212764,0.0012183964450088924
SMR_VSA7,0.008042824697754178,0.0008294057338541005
NumSaturatedRings,0.007839950526142711,0.000997538334805765
NumAliphaticRings,0.007817797131370194,0.0011490144819504438
fr_allylic_oxid,0.007638511560426164,0.0028896543028496652
fr_C_O,0.007545347741691591,0.0014771480501074073
Kappa2,0.007361311587367594,0.0017655049666786844
VSA_EState4,0.00706719566860034,0.0013658482459848484
VSA_EState2,0.006941011596781482,0.00089783180338592
fr_bicyclic,0.006674765555866019,0.0012770297654303771
FractionCSP3,0.006571123745532717,0.001310824466119893
PEOE_VSA6,0.006534523213040544,0.0019409907984020143
BCUT2D_MWLOW,0.006503954787231467,0.0018123851074730167
SlogP_VSA6,0.006471909838878909,0.0013165380412282805
PEOE_VSA2,0.006369557612342966,0.0008663602224405599
PEOE_VSA7,0.006141247842928951,0.0019732326667220067
RingCount,0.005948482824699203,0.0010725637140535536
SPS,0.005874821983676337,0.001123346948961807
fr_hdrzone,0.005860479333660323,0.0028887385499209764
SlogP_VSA3,0.005709222563463234,0.0011063187307590644
BCUT2D_MRLOW,0.005708707595638199,0.001078445670557965
fr_C_O_noCOO,0.005696352645127106,0.0009713185242373138
fr_ketone_Topliss,0.0056461786236988165,0.0012038431764679748
VSA_EState6,0.0053042144015117,0.0007691389811690745
fr_quatN,0.005151647266662188,0.0006051846925330902
SlogP_VSA1,0.004995085362498708,0.0018643119230223031
Kappa1,0.0049296691717650165,0.0020408169076699197
Chi1,0.00483452971528317,0.0009210722895058288
qed,0.004691099386694139,0.0006183858052376961
BCUT2D_LOGPLOW,0.0046784270200599665,0.0008131176793058104
PEOE_VSA13,0.004641284206313212,0.0011645760350713246
NumAliphaticCarbocycles,0.004581550174530005,0.0008487837947479326
LabuteASA,0.004576274103952047,0.001534549244647239
fr_sulfide,0.004360336933954004,0.00037053441767668897
NumSaturatedCarbocycles,0.004221181869365445,0.0012206756213329253
fr_Al_OH_noTert,0.0041473945858291755,0.0010251280853623816
Chi1n,0.0041001066440725376,0.00190976294073939
BCUT2D_CHGLO,0.004047735731929278,0.0017219284002736525
fr_phenol,0.0038332197675613328,0.0005622415498076588
MolMR,0.0038086755707474468,0.0011739986864605925
FpDensityMorgan1,0.0037037393750809777,0.0012367950502278156
NumRotatableBonds,0.003673666788739288,0.001061419985855752
SlogP_VSA2,0.0036242537679774256,0.0007201040871744861
fr_imide,0.0035829154895297144,0.0006346141913472928
SMR_VSA6,0.00343071539343065,0.0002405844710998638
EState_VSA4,0.0033731086774445723,0.0013585840840006894
VSA_EState3,0.003371096356417455,0.00045607384382924046
SlogP_VSA5,0.0033491093816965523,0.0009256534525670867
Chi4v,0.003311182921481179,0.001004762630800191
MolLogP,0.0032260041205482703,0.0012470684061664742
HeavyAtomCount,0.003219148061234259,0.0010838230421460118
MinPartialCharge,0.0032042591457326214,0.0007084612257689435
fr_Al_OH,0.003179090696778325,0.0007513908634377191
Chi2v,0.0031709960418285082,0.0015321652225730323
MolWt,0.0031399737949869,0.0012460537280648907
