признак,падение качества,std
NumSaturatedHeterocycles,0.0064879317111460055,0.0034406955167496263
fr_priamide,0.00558648940345359,0.00034640488232192236
NumHDonors,0.004421359890109888,0.0011527181999718874
fr_bicyclic,0.0035751079277864944,0.0012176977343185662
NHOHCount,0.0033236852433281144,0.0015437227666125878
fr_Ar_OH,0.003311420722135014,0.001082895410844018
VSA_EState4,0.0031274529042386034,0.0013608092843817685
TPSA,0.002986410910518031,0.0008705002573822953
BCUT2D_MRLOW,0.00293122056514912,0.0015563382617486863
fr_ketone_Topliss,0.00292508830455257,0.0008411485753127644
SMR_VSA4,0.0027840463108319974,0.00117374735748268
MaxPartialCharge,0.002649136577708003,0.000934682048825438
fr_phenol,0.0026123430141286874,0.0014064684254330583
BCUT2D_CHGHI,0.002575549450549372,0.0007803166071716342
fr_ketone,0.0025510204081632126,0.0009311348555780079
LabuteASA,0.0024835655416012292,0.0012170799428811612
VSA_EState3,0.002446771978021983,0.0008753251584343043
fr_allylic_oxid,0.0024345074568288827,0.0010895251444075177
SPS,0.0024222429356357683,0.0008833648567365511
MolMR,0.00237931711146,0.0008397391468124005
fr_C_O,0.0023179945054944695,0.0010938825390151823
BCUT2D_LOGPLOW,0.0023118622448979054,0.0004585274588876011
NumAliphaticHeterocycles,0.002158555729984288,0.0016011660047456316
Chi0n,0.002121762166405,0.0012526033553681417
NOCount,0.0021094976452118996,0.0006686132834791297
MolWt,0.0020972331240188408,0.0005049349698351508
NumAromaticHeterocycles,0.0020604395604395948,0.0012743303775373533
PEOE_VSA10,0.002060439560439553,0.0006618297470188236
VSA_EState1,0.002011381475667165,0.0010272955058561511
PEOE_VSA12,0.002011381475667151,0.0005418642571225855
HallKierAlpha,0.001992984693877542,0.0007342085725755619
VSA_EState2,0.001986852433280964,0.0011108704743155663
MaxAbsPartialCharge,0.0019561911302982266,0.0006197831826894951
fr_Al_OH,0.001950058869701718,0.0011072764023770266
SlogP_VSA3,0.0019377943485085897,0.0007379125273004011
EState_VSA2,0.0019071330455258662,0.0014947503131704668
EState_VSA1,0.001888736263736271,0.0008016157102810162
NumAliphaticCarbocycles,0.0018580749607534919,0.0019922109354152716
VSA_EState6,0.0018519427001569694,0.0011423135799031817
NumHeteroatoms,0.0017967523547880726,0.0011812045617710727
BCUT2D_MWLOW,0.0017967523547880448,0.0013218258055329437
BCUT2D_MRHI,0.0017292974882260476,0.0005230785938023355
fr_C_O_noCOO,0.001717032967032947,0.0006699617486139721
PEOE_VSA1,0.0016986361852433518,0.0008238025112684849
HeavyAtomMolWt,0.0016986361852433102,0.0011968909723999478
EState_VSA10,0.0016863716640502374,0.0008661695989226733
PEOE_VSA9,0.0016802394034536594,0.0008222718942239618
qed,0.0016802394034536178,0.0009265194363351099
PEOE_VSA14,0.0016557103610674445,0.0008270144067642755
SlogP_VSA8,0.0016495781004708943,0.000546253292795658
PEOE_VSA2,0.0016373135792778493,0.0010646671129428426
EState_VSA7,0.001606652276295098,0.001080879426626373
MaxAbsEStateIndex,0.001606652276295098,0.0011564474508303183
fr_ether,0.0016005200156985755,0.0009314376997806422
fr_NH2,0.0016005200156985477,0.002626662757267224
MinAbsPartialCharge,0.0015575941915227653,0.000848559523085264
NumRotatableBonds,0.0015208006279435193,0.001537718604656356
NumSaturatedRings,0.0015024038461538408,0.0007894913406092811
SlogP_VSA12,0.001502403846153813,0.0006894090168272879
fr_para_hydroxylation,0.0014901393249607542,0.00037436936149914675
BCUT2D_CHGLO,0.0014901393249607264,0.001245664254945273
SlogP_VSA11,0.001490139324960657,0.0007222282771757723
MinPartialCharge,0.0014533457613814388,0.0007255529448050956
BCUT2D_LOGPHI,0.0014288167189952794,0.0011995272301938847
SlogP_VSA2,0.0014104199372056425,0.000734541413470798
SlogP_VSA1,0.0013981554160125698,0.0009446070208972441
NumAliphaticRings,0.0013981554160125559,0.0006277709915653876
MinAbsEStateIndex,0.0013981554160125143,0.0015100808449393073
SMR_VSA9,0.0013674941130297907,0.0004890069311699422
PEOE_VSA3,0.0013552295918366486,0.0012439725554069894
SlogP_VSA4,0.0013429650706435897,0.0010348632632682306
NumHAcceptors,0.0012141875981162148,0.0011551460240722265
SMR_VSA1,0.001208055337519609,0.0006200258305142388
RingCount,0.0011957908163265363,0.001347521534928742
Chi0v,0.0011528649921506984,0.001111141253228618
NumAromaticRings,0.0011528649921506845,0.0013101815503407921
Ipc,0.0011406004709575285,0.00034230979535306385
SMR_VSA10,0.0011344682103610337,0.0010871756122967974
SlogP_VSA10,0.0011222036891679749,0.0011448620139278291
MinEStateIndex,0.0011222036891678916,0.0013400217202581954
Kappa3,0.001103806907378324,0.0012667534668048882
EState_VSA8,0.0010240875196232402,0.0015204915108124333
MolLogP,0.0009995584772370114,0.0008160976811903282
fr_Al_OH_noTert,0.0009934262166405028,0.0007642479690598285
fr_amide,0.0009872939560439525,0.0009153105098892749
fr_furan,0.0009750294348508798,0.0011120715528812422
SlogP_VSA5,0.0009688971742543573,0.0011980999772783266
VSA_EState5,0.0009688971742543018,0.0005327660574218882
Chi1,0.0009505003924646788,0.0011817138251664482
SlogP_VSA6,0.0009505003924646649,0.001330446191752029
Kappa2,0.0009382358712715644,0.0009067247694773634
VSA_EState8,0.0009321036106750558,0.0023590002309505638
PEOE_VSA6,0.0009198390894818997,0.001451934915394944
FractionCSP3,0.0009198390894818859,0.0012400516610284959
Chi0,0.0008891777864991762,0.0007123723374916292
NumSaturatedCarbocycles,0.0008769132653061312,0.0015779701882121043
NumValenceElectrons,0.0008033261381475421,0.0010680525026545763
Chi1v,0.0007971938775510057,0.0008503303086569213
SMR_VSA6,0.0007849293563579329,0.0011455351676643657
VSA_EState7,0.0007787970957613688,0.0009024012669642962
Chi2n,0.0007604003139717458,0.0008744870226636364
PEOE_VSA11,0.0007604003139717319,0.0011038069073783568
fr_quatN,0.0007297390109889945,0.0007425608011545358
PEOE_VSA13,0.000668416405023492,0.0002752695212846416
SMR_VSA7,0.0006561518838304192,0.0013810390012577588
Chi3v,0.0006377551020408379,0.0007399481519328302
Chi2v,0.0006193583202511455,0.0014043680096030055
ExactMolWt,0.0005703002354787851,0.0010521608284312929
fr_Imine,0.0005641679748822626,0.0009553739253409557
EState_VSA6,0.0005580357142857262,0.0019453769183864758
PEOE_VSA7,0.0005580357142856984,0.0009939371069888497
AvgIpc,0.000551903453689162,0.001139676961084739
PEOE_VSA5,0.0005519034536891343,0.0006823087247694818
fr_COO,0.0005335066718994697,0.000520592447613943
fr_alkyl_halide,0.0005273744113028916,0.0007591134284460215
Kappa1,0.0005212421507064108,0.0009039002042595181
Chi1n,0.0005028453689167461,0.0008608785346563545
SlogP_VSA7,0.0005028453689166906,0.0002750645296802155
Chi4n,0.0004783163265305729,0.001230798323465306
fr_hdrzone,0.00047831632653053124,0.0001911849645324877
fr_sulfide,0.00046605180533748625,0.00033721858037842107
fr_ester,0.0004476550235478216,0.0006688101039794111
NumAromaticCarbocycles,0.0003985969387755167,0.0011977703697011266
fr_piperdine,0.0003434065934065367,0.0003290916371908975
PEOE_VSA8,0.0003311420722134778,0.0016130992800127226
fr_nitro,0.00033114207221345004,0.00041825433930975354
fr_nitro_arom,0.0002452904238617881,0.00010969721239698859
SMR_VSA3,0.0002207613814756565,0.0006277709915654721
EState_VSA9,0.00022076138147562874,0.0013936295831378702
BCUT2D_MWHI,0.00021462912087907848,0.0005103794695184297
fr_Ar_NH,0.00020236459968595022,0.00030482948689260274
fr_NH0,0.00017783555729986023,0.0010458516064130567
fr_morpholine,0.00017783555729977696,0.00024025630426016863
VSA_EState9,0.0001594387755101817,0.0005926442027251612
Chi3n,0.0001471742543171367,0.0010544635626081433
fr_nitro_arom_nonortho,0.00014717425431705344,9.811616954472774e-05
fr_piperzine,0.0001349097331239668,0.0001764557320684379
EState_VSA3,0.0001226452119309357,0.001387572176582721
fr_thiophene,0.0001226452119308663,0.0003014179191386976
EState_VSA11,0.00011651295133435768,0.0001530610279428591
fr_Al_COO,0.00011651295133430217,0.000387013180079742
fr_thiazole,0.00010424843014118779,0.0004572133885979026
PEOE_VSA4,9.811616954470692e-05,0.0007611911621459592
fr_pyridine,8.585164835156478e-05,0.0002639010350194886
HeavyAtomCount,7.971938775507004e-05,0.0006567820005868183
fr_Ar_N,7.358712715851978e-05,0.0004297835426789648
SMR_VSA2,7.35871271585059e-05,0.00023010281396307
FpDensityMorgan2,6.132260596548866e-05,0.000898496512332808
fr_nitrile,4.905808477234652e-05,8.497109534772524e-05
fr_amidine,1.226452119308663e-05,3.244887302618841e-05
EState_VSA4,1.3877787807814457e-17,0.0012323250281672568
fr_alkyl_carbamate,0.0,0.0
fr_sulfone,-1.3877787807814457e-17,3.671717528720129e-17
BertzCT,-6.132260596605765e-06,0.0015119598063031592
fr_oxime,-1.8396781789650762e-05,6.910706724386706e-05
fr_urea,-1.8396781789650762e-05,7.732486394305763e-05
fr_azo,-3.066130298276515e-05,5.450472439976203e-05
fr_sulfonamd,-4.292582417590729e-05,0.00010814359355712772
fr_lactone,-6.745486656206667e-05,0.0001364341852758152
EState_VSA5,-0.00010424843014131269,0.0009586549477082147
fr_ArN,-0.00011651295133439932,0.00026182670280870435
fr_imidazole,-0.0001226452119309912,0.00011763715471233277
fr_aniline,-0.00019623233908946935,0.0007560358618240902
fr_halogen,-0.00020849686028259762,0.0006644382883919689
fr_NH1,-0.0002820839874411729,0.002416421937253439
VSA_EState10,-0.0003004807692308237,0.0006970036485481579
fr_C_S,-0.0003127452904239242,0.0006456953013655811
SMR_VSA5,-0.00034340659340660606,0.0016067927036069792
BalabanJ,-0.0004047291993721086,0.0014790321010828226
fr_aryl_methyl,-0.0004967131083203208,0.0008879504873821543
fr_unbrch_alkane,-0.0005028453689168155,0.0006923754011122689
Chi4v,-0.0006132260596546507,0.001350434616218649
fr_methoxy,-0.0006254905808477929,0.0004916528221357258
fr_Ndealkylation1,-0.0006806809262166341,0.0005053444118446892
FpDensityMorgan1,-0.0008155906593406703,0.001314064894470586
FpDensityMorgan3,-0.0012203198587126957,0.000846674005457011
fr_Ndealkylation2,-0.0017354297488226117,0.0005462532927956371
fr_imide,-0.0018274136577708655,0.001040606860543342
