признак,падение качества,std
BCUT2D_CHGLO,0.03524184149184159,0.008937471016549207
FractionCSP3,0.030914918414918557,0.018049000119448752
BCUT2D_MRLOW,0.02265442890442898,0.006963305587181623
HallKierAlpha,0.009877622377622478,0.010282410689272483
VSA_EState4,0.007233391608391704,0.002810591848246418
EState_VSA3,0.005310314685314815,0.005494138799551645
EState_VSA4,0.003984557109557224,0.0031739768079951315
NumRotatableBonds,0.0038461538461539435,0.002184926150386701
fr_allylic_oxid,0.003744172494172582,0.0049841998481979346
FpDensityMorgan3,0.003423659673659804,0.0022218679505669305
SMR_VSA3,0.0027826340326341376,0.002130778318496887
EState_VSA8,0.0021270396270397507,0.0008994958648270841
fr_Imine,0.0020032051282052044,0.00046977206694016183
BCUT2D_LOGPLOW,0.001981351981352089,0.0017282264133260004
VSA_EState1,0.0019012237762238982,0.0016539077285741028
SlogP_VSA4,0.0015442890442891877,0.0008499972112945549
VSA_EState2,0.0014277389277389946,0.002127638259152553
Chi4n,0.0014058857808858655,0.0010747118019933063
NumAliphaticHeterocycles,0.0012893356643357279,0.0013002775409963001
NumValenceElectrons,0.001260198135198204,0.0005260413527062949
fr_ester,0.0011655011655012648,0.0003069829182066791
BertzCT,0.0011509324009325028,0.0010337665194991895
RingCount,0.001150932400932475,0.0009290943335374398
BCUT2D_MWLOW,0.0011072261072262168,0.00204503113582359
SMR_VSA5,0.0010708041958043119,0.002385888191891328
MinPartialCharge,0.0010416666666666907,0.0020841863992624157
SPS,0.000997960372960488,0.0013791742417385729
Chi3n,0.000990675990676107,0.0014384026861535624
fr_NH1,0.0009833916083917121,0.0015068462699677305
Chi0,0.0009833916083917121,0.0007368036554513042
PEOE_VSA1,0.0008886946386947314,0.0014039784699720306
EState_VSA2,0.0008814102564103365,0.0020799048149329905
VSA_EState5,0.0008158508158509076,0.0047586143735649485
SlogP_VSA8,0.0008085664335664711,0.00042268251970875413
TPSA,0.0007939976689977368,0.000683296802353829
PEOE_VSA7,0.0007794289044290442,0.001707204980994368
Chi1,0.0007721445221446216,0.0006875160381116738
PEOE_VSA9,0.0007575757575758596,0.0007243474880335667
EState_VSA6,0.0007502913752914647,0.0009312335622744429
Chi1n,0.000684731934732008,0.0008413382702786086
Chi2n,0.0006483100233101446,0.0014198193547220828
