признак,падение качества,std
NumSaturatedHeterocycles,0.01102358303606818,0.008446122571104398
NumSaturatedCarbocycles,0.008998464130004005,0.005196943683200482
NumAliphaticHeterocycles,0.004694312326595326,0.004244476669586863
NHOHCount,0.004626189060642105,0.0031733372545537874
NumHDonors,0.004254607609988109,0.0019504683605957053
fr_thiazole,0.0038458680142687135,0.004085964742701892
SPS,0.003536216805390416,0.0009458716747095833
PEOE_VSA1,0.002972651605231899,0.0012467528272058618
fr_allylic_oxid,0.002594877130400325,0.0016448630244766322
fr_aryl_methyl,0.002557718985334939,0.0009587593525149225
Kappa2,0.002229488703923879,0.0010726632528046942
NumAliphaticCarbocycles,0.0022171026555687645,0.007205944903463605
PEOE_VSA9,0.0021304003170828645,0.001419594607797678
EState_VSA4,0.001696888624653184,0.0009599786781440095
PEOE_VSA13,0.0016783095521205466,0.0006423751457858228
fr_phenol,0.0015916072136345771,0.001371765340094779
VSA_EState3,0.0015854141894570128,0.001795421688990037
HallKierAlpha,0.0014243955608402858,0.0018547254429769808
PEOE_VSA6,0.0013872374157748862,0.0012568025063382463
SMR_VSA7,0.0013810443915972942,0.001669396265730193
MinPartialCharge,0.0013562722948870232,0.0011011573160484157
fr_priamide,0.0013253071739991878,0.0008098429963474856
Kappa3,0.0011766745937376033,0.0007409921725696492
BertzCT,0.0011209373761395247,0.0013363019355414163
MolLogP,0.0011023583036068596,0.002308960079923217
Chi1n,0.0010961652794292953,0.0012451367352853881
fr_Ar_N,0.0010899722552516616,0.0006614660088594309
fr_Ar_OH,0.0010899722552516478,0.0019213951079731777
NumHAcceptors,0.001009462940943326,0.0013360723057365988
Chi2n,0.0009661117717003342,0.0007513748953677683
SlogP_VSA6,0.0009413396749900771,0.0016650829743169008
PEOE_VSA11,0.0008484443123265989,0.0005000267817190172
Kappa1,0.0007989001189060568,0.0010218114551292503
BCUT2D_MRLOW,0.000798900118906043,0.0021636178862645874
fr_nitro,0.0007927070947284648,0.00020725823090910094
fr_methoxy,0.0007865140705509283,0.0006933698363754045
PEOE_VSA4,0.0007741280221958136,0.0010492196631592223
NumValenceElectrons,0.0007741280221957719,0.0007856846457242243
FractionCSP3,0.0007183908045976933,0.0019295221316403405
Chi0,0.0006812326595323076,0.0012763641034412973
fr_Al_OH,0.0006378814902893576,0.0006736177193903637
BalabanJ,0.000637881490289316,0.0008228802453155415
fr_ketone,0.0006254954419341735,0.0008487606852334049
fr_halogen,0.0006131093935790727,0.0004954032262921578
fr_bicyclic,0.0006069163694015361,0.0005787082038358806
NumAromaticCarbocycles,0.0006069163694015084,0.0018608363091676574
VSA_EState9,0.0006007233452239163,0.0007986600431369676
fr_NH1,0.0005883372968688155,0.0010621532978182917
SlogP_VSA12,0.0005573721759809525,0.00040986405340305457
fr_aniline,0.0005140210067379886,0.00046007959525760065
MinEStateIndex,0.0005078279825604659,0.0011144002419516243
fr_C_S,0.0004520907649623457,0.0003610591519804998
Chi0v,0.0004335116924296528,0.0012360630876329748
VSA_EState10,0.0003901605231866889,0.0006105392186590737
Chi2v,0.00039016052318667505,0.0015016136213228653
BCUT2D_LOGPHI,0.00038396749900912464,0.0020924358242124077
fr_sulfide,0.000365388426476404,0.00039475367941151226
fr_ester,0.00035919540229883973,0.0006814578232005395
