признак,падение качества,std
FractionCSP3,0.05373464901023049,0.013561553615838244
BCUT2D_MRLOW,0.03129730573138795,0.010766745769472378
HallKierAlpha,0.017317895743559394,0.011919600637164341
FpDensityMorgan3,0.016315082815118412,0.009355907865928862
NumSaturatedHeterocycles,0.011765559817813714,0.005462269129458514
MinEStateIndex,0.010477686292532068,0.004141234317647334
BCUT2D_CHGLO,0.008711756774792162,0.00365316846467398
NHOHCount,0.007264276588822921,0.005116355147917111
MinPartialCharge,0.0068612922821492395,0.0011928414554755753
SMR_VSA4,0.006093760601018308,0.0029533795927560507
MaxAbsEStateIndex,0.005921375801930709,0.0017382982105218381
BCUT2D_MWLOW,0.00566113704818251,0.0018654607498121056
SlogP_VSA5,0.005331429264839052,0.0015285322304978363
NumAliphaticHeterocycles,0.005205746544875184,0.0023290615973861066
fr_bicyclic,0.005168048802820929,0.0014636160875693576
VSA_EState8,0.005150296960341402,0.0018802996366692954
SMR_VSA5,0.004871908359967619,0.0028461180878150646
Chi1n,0.004867958542919354,0.0017347066299611103
RingCount,0.004576674845074652,0.0020229287899368683
BalabanJ,0.004322986648737717,0.0023622793336761285
BCUT2D_LOGPHI,0.00365488313877628,0.001026262204796722
TPSA,0.0036370181949098995,0.0005708740170047371
EState_VSA4,0.0035713867440484576,0.005445702334930742
EState_VSA5,0.0034143306209689084,0.00260978650345199
Kappa2,0.003342797938067979,0.0012989809705685259
VSA_EState3,0.00301403364701075,0.0017406405407497704
VSA_EState5,0.0030027355382466064,0.0013440536545197748
PEOE_VSA7,0.002841199198462957,0.001759399002389716
EState_VSA2,0.0026976239874721836,0.0013134408085638445
SlogP_VSA4,0.0026216703495666738,0.0019808997435126724
VSA_EState4,0.002589481080157899,0.003275866537444668
SPS,0.0025426059075834284,0.001682498684476283
EState_VSA3,0.0023707482566276,0.0020124783569321772
MaxAbsPartialCharge,0.002295175513495354,0.0009633260574040625
LabuteASA,0.0022597313433330712,0.0003748504815916557
SMR_VSA10,0.001993137378008325,0.0007108987923540887
EState_VSA6,0.0019573670619875694,0.002031695036067568
VSA_EState7,0.0019340145269297893,0.0010314349144986189
Chi0n,0.0019255333114371609,0.0005363423439916317
Chi1,0.0018482426900385401,0.0011055558354144015
MolMR,0.0018413765108759306,0.0005109044475847694
NumRotatableBonds,0.001833175800008871,0.002011447600410268
SlogP_VSA2,0.00176873533150107,0.0014798665518771005
SMR_VSA3,0.0017320402921839895,0.0013777467462032975
Kappa3,0.0015512406286052605,0.0028376245997340007
SMR_VSA7,0.0014654659007261456,0.00154190178306173
NumHDonors,0.0014555593937263661,0.0011317196672371874
AvgIpc,0.001291586951904511,0.002278963979839211
MolLogP,0.001280474130770523,0.00038808259643277853
SlogP_VSA3,0.001249122802798125,0.0006308791299329994
NumSaturatedCarbocycles,0.0012271566494389125,0.0006255761903966255
Ipc,0.0011897226984469988,0.0006793920905611957
NOCount,0.0011876284377041885,0.0015889323861902871
FpDensityMorgan1,0.0011867782898001972,0.0033027656012714905
Chi2n,0.0011748898258127638,0.0004187752331772837
fr_NH1,0.0011308322762641765,0.0013462973949999058
PEOE_VSA9,0.0011257186370058347,0.0008229273832522703
EState_VSA10,0.0010915664582390183,0.0011841968989081237
BertzCT,0.0010209617579844121,0.0016881220313725734
fr_allylic_oxid,0.0010142897215562746,0.0007864455033413095
EState_VSA8,0.000997429144586115,0.0006740064372948504
NumHAcceptors,0.0008820348939313355,0.000419620649065959
Chi3n,0.0008703991573861258,0.0006071081650656236
qed,0.0008164812599192051,0.0035941451528535414
PEOE_VSA2,0.0007625365524942945,0.0011461075485121582
VSA_EState2,0.0007620608180392008,0.003491561367286942
fr_Imine,0.0007606185655616854,0.0006015287103922386
NumValenceElectrons,0.0007459769783671327,0.0005211388458612602
NumAromaticHeterocycles,0.0007231870477636265,0.00047102883385340615
Chi1v,0.0007214309601757396,0.000408093976699591
fr_aryl_methyl,0.0006949953104968959,0.0002983100913527143
MinAbsEStateIndex,0.0006807252493327698,0.001106167424353966
SlogP_VSA6,0.0006320964406769936,0.00047307049513642526
HeavyAtomCount,0.000545924991608493,0.00021791411479666053
VSA_EState9,0.0005370717995208801,0.0002458137086346584
Chi2v,0.0005174632591791323,0.0002754965390318412
SlogP_VSA8,0.00035743054927296625,0.0001521967475066439
Chi3v,0.00033675893904665244,0.00029979195982253644
VSA_EState6,0.0003339656930123197,0.0010934098612944716
EState_VSA1,0.0003278331760485781,0.00025892086236546966
NumHeteroatoms,0.00030756657409401755,0.00045736954448961155
NumAromaticRings,0.0002653235002427201,0.00020146665053758216
Chi0v,0.00026476514364785764,0.00035456957973264795
ExactMolWt,0.0002588378592608409,0.00024377460090989093
Chi0,0.0002582540665117261,0.0003303691821668859
fr_Ar_N,0.0002568218984890236,0.0001430645539246547
PEOE_VSA6,0.0002551549732442149,0.0015214266533397794
PEOE_VSA5,0.00023716215964537934,0.0002680552297994476
NumAliphaticRings,0.0002281479364184269,0.0006499916341068521
Chi4n,0.0001959989276663493,0.000498424133240006
MolWt,0.00016644404289391235,0.0003232679143546017
SlogP_VSA10,0.0001404888691988876,0.00041653473148671504
fr_C_O_noCOO,0.00013032481628735826,0.00041427297022550837
PEOE_VSA12,0.0001268249761254281,0.0001889796412715863
fr_amide,0.00010459980077087705,0.00012627380287874308
fr_alkyl_halide,9.95152688681028e-05,3.7906280854788854e-05
fr_ketone,8.297203747174853e-05,6.060776995866978e-05
HeavyAtomMolWt,6.807186591724357e-05,0.000524241526616334
Kappa1,6.378184141701826e-05,0.000502312217107554
fr_thiazole,6.108559179895945e-05,0.0001470362465695953
fr_thiophene,5.4766599361238955e-05,3.8800002326511814e-05
NumAliphaticCarbocycles,5.137120989198718e-05,0.0001712703122800218
PEOE_VSA3,4.478033911478607e-05,0.0006160565981169151
fr_C_O,3.19600680675769e-05,8.62537188621894e-05
BCUT2D_LOGPLOW,5.409179658022456e-06,0.0017422050449420951
SlogP_VSA12,1.6555217310504355e-06,5.968439611516472e-05
PEOE_VSA14,1.2137478102164367e-06,0.00011024625989931286
fr_imide,0.0,0.0
fr_azo,0.0,0.0
fr_alkyl_carbamate,0.0,0.0
fr_furan,0.0,0.0
fr_Ndealkylation1,0.0,0.0
fr_imidazole,0.0,0.0
fr_amidine,0.0,0.0
fr_Ndealkylation2,0.0,0.0
fr_priamide,0.0,0.0
fr_ketone_Topliss,0.0,0.0
fr_sulfone,0.0,0.0
fr_piperzine,0.0,0.0
fr_piperdine,0.0,0.0
fr_phenol,0.0,0.0
fr_oxime,0.0,0.0
fr_nitro_arom_nonortho,0.0,0.0
fr_nitro_arom,0.0,0.0
fr_pyridine,0.0,0.0
fr_nitro,0.0,0.0
fr_nitrile,0.0,0.0
fr_morpholine,0.0,0.0
fr_quatN,0.0,0.0
fr_sulfide,0.0,0.0
fr_sulfonamd,0.0,0.0
fr_methoxy,0.0,0.0
fr_lactone,0.0,0.0
fr_NH2,0.0,0.0
